GRB2	CCM2L
GRB2	RPL21
GRB2	MYO6
GRB2	PPP6R3
GRB2	RPL27A
GRB2	RPS5
GRB2	PTBP1
GRB2	NONO
GRB2	RPL18A
GRB2	PDLIM7
GRB2	UACA
GRB2	SLC25A4
GRB2	PHGDH
GRB2	SPECC1
GRB2	LUZP1
GRB2	ABLIM1
GRB2	TIAF1
GRB2	SCIN
GRB2	MYL12A
GRB2	FLNA
GRB2	MYO1C
GRB2	GSTM1
GRB2	LMO7
GRB2	LRRFIP2
GRB2	TUBA1B
GRB2	GSTM3
GRB2	MYH9
GRB2	TUFM
PSEN1	MTCH1
ZFYVE16	TOM1
EEA1	ZFYVE16
EEA1	TOM1
SOS1	PACSIN3
SOS1	SNX9
SOS1	CD2AP
SOS1	SNX18
SOS2	GRB2
SOS2	PACSIN3
SOS2	SNX9
SOS2	CD2AP
SOS2	SNX18
ANGPTL3	ITGAV
MAPK11	SP1
MAPK11	KRT1
MAPK11	MYB
MAPK11	MTREX
CASC3	EIF4A3
MAGOH	CASC3
ERAP1	IL6R
TNFRSF1A	ERAP1
LLGL1	MYH10
PDCD11	NFKB1
PDCD11	RELA
ITGB2	SYK
BAG1	HSPA1A
ST13	BAG1
ACTN1	CAMK2A
RAF1	BAG1
TP63	PPP1R13B
TP73	PPP1R13B
EPS8	ITGB1
EPS8	ITGB5
EPS8	ITGB3
ITGB1	TNS2
ITGB3	RABGAP1
ITGB1	RABGAP1
ITGB7	RABGAP1
ANKS1B	ITGB7
ANKS1B	ITGB3
ANKS1B	ITGB1
GULP1	ITGB3
GULP1	ITGB7
RGS12	ITGB3
MAPK8IP1	ITGB3
ITGB3	TNS2
TNS2	ITGB5
ITGB7	TNS2
EIF4ENIF1	EIF4E
EIF4ENIF1	KPNB1
EIF4ENIF1	CSE1L
ELOB	ELOC
ELOB	VHL
CEBPZ	TP73
TP53	CEBPZ
PBX1	HOXB1
HDAC6	HDAC11
HDAC3	HDAC10
HDAC2	HDAC10
NCOR2	HDAC10
NCOR2	HDAC1
HDAC2	HDAC1
DAXX	DEK
DAXX	H4-16
DAXX	HDAC2
DEK	H4-16
DEK	HDAC2
DEK	H3C1
NCKAP1	CYFIP2
WASF2	ABI1
NCKAP1	ABI1
ABI1	CYFIP2
WASF2	CYFIP2
NCKAP1	WASF2
NIN	ABI1
ABI1	NEB
ABI1	CYFIP1
ABI1	HSPA8
CTNNB1	CDH1
CTNNB1	CTNNA1
NCKAP1	RAC1
PARD3	CCDC88A
PARD3	DCAF7
PARD3	YWHAH
PARD3	PNMA1
PARD3	PNMA2
PARD3	PRKCI
PARD3	RASSF8
PARD3	LLGL1
PARD3	PARD6B
YWHAH	CCDC88A
YWHAH	CYFIP1
YWHAH	MARK3
YWHAH	PARD6B
YWHAH	PARD6A
YWHAH	MARK2
YWHAH	TUBG1
YWHAH	MARK4
YWHAH	KIF23
YWHAH	ARHGEF2
YWHAH	PRKCI
YWHAH	DOCK7
YWHAH	CYFIP2
YWHAH	MARK1
YWHAH	DCAF7
YWHAH	RASSF8
YWHAH	PARD6G
STK11	KIF23
STK11	RPAP3
STK11	SMARCA4
STK11	LIMS1
STK11	STRADB
STK11	USP11
STK11	SMARCC1
STK11	FKBP5
STK11	HSPA1A
STK11	CAB39
STK11	HSP90AA1
STK11	STRADA
STK11	CDC37
MARK4	MTCL1
MARK4	USP9X
MARK4	MYO18A
MARK4	CDC42
MARK4	PPP2R1A
MARK4	SMARCA4
MARK4	PPP2CB
MARK4	MYBBP1A
MARK4	PNMA2
MARK4	TUBG1
MARK4	DOCK7
MARK4	PNMA1
MARK4	PRKCI
MARK4	SOGA1
MARK4	USP7
MARK4	RNF41
MARK4	ARHGEF2
MARK4	KCTD20
MARK4	CYFIP1
YWHAZ	MARK3
YWHAZ	DCAF7
YWHAZ	DOCK7
YWHAZ	MARK2
YWHAZ	PNMA1
YWHAZ	PARD3
YWHAZ	CYFIP1
YWHAZ	CYFIP2
YWHAZ	PARD6G
YWHAZ	PNMA2
YWHAZ	KIF23
YWHAZ	TUBG1
YWHAZ	MARK1
PARD6G	PRKCZ
PARD6G	PARD3
PARD6G	MARK2
PARD6G	PARD6B
PARD6G	YWHAE
PARD6G	LLGL2
PARD6G	LLGL1
PARD6B	LLGL1
PARD6B	DMBT1
PARD6B	LLGL2
PARD6B	PARD6A
PARD6A	RPAP3
PARD6A	SUGT1
PARD6A	PIH1D1
PARD6A	WDR92
PARD6A	LLGL1
PARD6A	LLGL2
PARD6A	PDRG1
PRKCI	MYO10
PRKCI	SQSTM1
PRKCI	RAPGEF2
PRKCI	LLGL2
PRKCI	CDC37
PRKCI	NIPSNAP1
PRKCI	HSP90AA1
PRKCI	NIPSNAP2
PRKCI	LLGL1
PNMA1	PNMA8A
PNMA1	CCAR2
PNMA1	PNMA2
PNMA1	PRKCI
CAB39	STRADB
PARD6G	MARK4
STK11	MARK4
STK11	PARD3
PARD6B	PNMA1
PARD6A	PNMA1
PRKCI	YWHAZ
