A2M PROC
PPP2R5B CACNB2
PPP2R5B CACNB3
PPP2R5B CACNB4
PPP2R5B CACNG1
PPP2R5B CACNG2
PPP2R5B CACNG3
PPP2R5B CACNG4
PPP2R5B CACNG5
PPP2R5B CACNG6
PPP2R5B CACNG7
PPP2R5B CACNG8
PPP2R5B PPP1R1A
PPP2R5B RYR2
PPP2R5B SMG5
PPP2R5B SMG6
PPP2R5B TNNI3
PPP2R5C AKT1
PPP2R5C AKT2
PPP2R5C AKT3
PPP2R5C BCL2
PPP2R5C CACNA1C
PPP2R5C CACNA1D
PPP2R5C CACNA1F
PPP2R5C CACNA1S
PPP2R5C CACNA2D1
PPP2R5C CACNA2D2
PPP2R5C CACNA2D3
PPP2R5C CACNA2D4
PPP2R5C CACNB1
PPP2R5C CACNB2
PPP2R5C CACNB3
PPP2R5C CACNB4
PPP2R5C CACNG1
PPP2R5C CACNG2
PPP2R5C CACNG3
PPP2R5C CACNG4
PPP2R5C CACNG5
PPP2R5C CACNG6
PPP2R5C CACNG7
PPP2R5C CACNG8
PPP2R5C PPP1R1A
PPP2R5C RYR2
PPP2R5C SMG5
PPP2R5C SMG6
PPP2R5C TNNI3
PPP2R5D AKT1
PPP2R5D AKT2
PPP2R5D AKT3
PPP2R5D BCL2
PPP2R5D CACNA1C
PPP2R5D CACNA1D
PPP2R5D CACNA1F
PPP2R5D CACNA1S
PPP2R5D CACNA2D1
PPP2R5D CACNA2D2
PPP2R5D CACNA2D3
PPP2R5D CACNA2D4
PPP2R5D CACNB1
PPP2R5D CACNB2
PPP2R5D CACNB3
PPP2R5D CACNB4
PPP2R5D CACNG1
PPP2R5D CACNG2
PPP2R5D CACNG3
PPP2R5D CACNG4
PPP2R5D CACNG5
PPP2R5D CACNG6
PPP2R5D CACNG7
PPP2R5D CACNG8
PPP2R5D PPP1R1A
PPP2R5D RYR2
PPP2R5D SMG5
PPP2R5D SMG6
PPP2R5D TNNI3
PPP2R5E AKT1
PPP2R5E AKT2
PPP2R5E AKT3
PPP2R5E BCL2
PPP2R5E CACNA1C
PPP2R5E CACNA1D
PPP2R5E CACNA1F
PPP2R5E CACNA1S
PPP2R5E CACNA2D1
PPP2R5E CACNA2D2
PPP2R5E CACNA2D3
PPP2R5E CACNA2D4
PPP2R5E CACNB1
PPP2R5E CACNB2
PPP2R5E CACNB3
PPP2R5E CACNB4
PPP2R5E CACNG1
PPP2R5E CACNG2
PPP2R5E CACNG3
PPP2R5E CACNG4
PPP2R5E CACNG5
PPP2R5E CACNG6
PPP2R5E CACNG7
PPP2R5E CACNG8
PPP2R5E PPP1R1A
PPP2R5E RYR2
PPP2R5E SMG5
PPP2R5E SMG6
PPP2R5E TNNI3
PPP3CA BAD
PPP3CA CACNA1C
PPP3CA CACNA1D
PPP3CA CALM1
PPP3CA CALM2
PPP3CA CALM3
PPP3CA CALML3
PPP3CA CALML4
PPP3CA CALML5
PPP3CA CALML6
PPP3CA CRTC2
PPP3CA GRM1
PPP3CA GRM5
PPP3CA NFATC1
PPP3CA NFATC2
PPP3CA NFATC3
PPP3CA NFATC4
PPP3CA PPP1R1A
PPP3CA PPP1R1B
PPP3CA SSH1
PPP3CA SSH2
PPP3CA SSH3
PPP3CB BAD
PPP3CB CACNA1C
PPP3CB CACNA1D
PPP3CB CALM1
PPP3CB CALM2
PPP3CB CALM3
PPP3CB CALML3
PPP3CB CALML4
PPP3CB CALML5
PPP3CB CALML6
PPP3CB CRTC2
PPP3CB GRM1
PPP3CB GRM5
PPP3CB NFATC1
PPP3CB NFATC2
PPP3CB NFATC3
PPP3CB NFATC4
PPP3CB PPP1R1A
PPP3CB PPP1R1B
PPP3CB SSH1
PPP3CB SSH2
PPP3CB SSH3
PPP3CC BAD
PPP3CC CACNA1C
PPP3CC CACNA1D
PPP3CC CALM1
PPP3CC CALM2
PPP3CC CALM3
PPP3CC CALML3
PPP3CC CALML4
PPP3CC CALML5
PPP3CC CALML6
PPP3CC CRTC2
PPP3CC GRM1
PPP3CC GRM5
PPP3CC NFATC1
PPP3CC NFATC2
PPP3CC NFATC3
PPP3CC NFATC4
PPP3CC PPP1R1A
PPP3CC PPP1R1B
PPP3CC SSH1
PPP3CC SSH2
PPP3CC SSH3
PPP3R1 BAD
PPP3R1 CALM1
PPP3R1 CALM2
PPP3R1 CALM3
PPP3R1 CALML3
PPP3R1 CALML4
PPP3R1 CALML5
PPP3R1 CALML6
PPP3R1 CRTC2
PPP3R1 GRM1
PPP3R1 GRM5
PPP3R1 NFATC1
PPP3R1 NFATC2
PPP3R1 NFATC3
PPP3R1 NFATC4
PPP3R1 PPP1R1A
PPP3R1 SSH1
PPP3R1 SSH2
PPP3R1 SSH3
PPP3R2 BAD
PPP3R2 CALM1
PPP3R2 CALM2
PPP3R2 CALM3
PPP3R2 CALML3
PPP3R2 CALML4
PPP3R2 CALML5
PPP3R2 CALML6
PPP3R2 CRTC2
PPP3R2 GRM1
PPP3R2 GRM5
PPP3R2 NFATC1
PPP3R2 NFATC2
PPP3R2 NFATC3
PPP3R2 NFATC4
PPP3R2 PPP1R1A
PPP3R2 SSH1
PPP3R2 SSH2
PPP3R2 SSH3
PPP4C CRTC2
PPP4R3A CRTC2
PPP4R3B CRTC2
PPP5C MAP3K5
PPP5D1 MAP3K5
PPT1 MECR
PPT2 MECR
PPY GPR83
PPY NPY1R
PPY NPY2R
PPY NPY4R
PPY NPY4R2
PPY NPY5R
PRAP1 STK11
PRDM16 KDM1A
PRDM16 ZNF516
PRDM2 CAMKMT
PRDM2 PLOD1
PRDM2 PLOD2
PRDM2 PLOD3
PRDM6 PLOD1
PRDM6 PLOD2
PRDM6 PLOD3
PRDM7 CAMKMT
PRDM7 PLOD1
PRDM7 PLOD2
PRDM7 PLOD3
PRDM9 CAMKMT
PRDM9 PLOD1
PRDM9 PLOD2
PRDM9 PLOD3
PREB SAR1A
PREB SAR1B
PREX1 RAC1
PREX1 RAC2
PREX1 RAC3
PRICKLE1 VANGL1
PRICKLE1 VANGL2
PRICKLE2 VANGL1
PRICKLE2 VANGL2
PRICKLE3 VANGL1
PRICKLE3 VANGL2
PRICKLE4 VANGL1
PRICKLE4 VANGL2
PRKAA1 ACACA
PRKAA1 ACACB
PRKAA1 AGRP
PRKAA1 AKT1S1
PRKAA1 CD36
PRKAA1 CFTR
PRKAA1 CRTC2
PRKAA1 CRY1
PRKAA1 CRY2
PRKAA1 EEF2K
PRKAA1 ELAVL1
PRKAA1 FOXO1
PRKAA1 FOXO3
PRKAA1 FOXO4
PRKAA1 FOXO6
PRKAA1 G6PC
PRKAA1 G6PC2
PRKAA1 G6PC3
PRKAA1 GYS1
PRKAA1 GYS2
PRKAA1 HMGCR
PRKAA1 KLF2
PRKAA1 LIPE
PRKAA1 MLYCD
PRKAA1 MTOR
PRKAA1 MYL2
PRKAA1 NPY
PRKAA1 PCK1
PRKAA1 PCK2
PRKAA1 PFKFB1
PRKAA1 PFKFB2
PRKAA1 PFKFB3
PRKAA1 PFKFB4
PRKAA1 PLIN1
PRKAA1 PPARGC1A
PRKAA1 RPTOR
PRKAA1 SLC2A1
PRKAA1 SLC2A4
PRKAA1 SPHK1
PRKAA1 SPHK2
PRKAA1 SREBF1
PRKAA1 TBC1D1
PRKAA2 ACACA
PRKAA2 ACACB
PRKAA2 AGRP
PRKAA2 AKT1S1
PRKAA2 CD36
PRKAA2 CFTR
PRKAA2 CRTC2
PRKAA2 CRY1
PRKAA2 CRY2
PRKAA2 EEF2K
PRKAA2 ELAVL1
PRKAA2 FOXO1
PRKAA2 FOXO3
PRKAA2 FOXO4
PRKAA2 FOXO6
PRKAA2 G6PC
PRKAA2 G6PC2
PRKAA2 G6PC3
PRKAA2 GYS1
PRKAA2 GYS2
PRKAA2 HMGCR
PRKAA2 KLF2
PRKAA2 LIPE
PRKAA2 MLYCD
PRKAA2 MTOR
PRKAA2 MYL2
PRKAA2 NPY
PRKAA2 PCK1
PRKAA2 PCK2
PRKAA2 PFKFB1
PRKAA2 PFKFB2
PRKAA2 PFKFB3
PRKAA2 PFKFB4
PRKAA2 PLIN1
PRKAA2 PPARGC1A
PRKAA2 RPTOR
PRKAA2 SLC2A1
PRKAA2 SLC2A4
PRKAA2 SPHK1
PRKAA2 SPHK2
PRKAA2 SREBF1
PRKAA2 TBC1D1
PRKAB1 ACACA
PRKAB1 ACACB
PRKAB1 AGRP
PRKAB1 AKT1S1
PRKAB1 CD36
PRKAB1 CFTR
PRKAB1 CRTC2
PRKAB1 CRY1
PRKAB1 CRY2
PRKAB1 EEF2K
PRKAB1 ELAVL1
PRKAB1 FOXO1
PRKAB1 FOXO3
PRKAB1 FOXO4
PRKAB1 FOXO6
PRKAB1 G6PC
PRKAB1 G6PC2
PRKAB1 G6PC3
PRKAB1 GYS1
PRKAB1 GYS2
PRKAB1 HMGCR
PRKAB1 KLF2
PRKAB1 LIPE
PRKAB1 MLYCD
PRKAB1 MTOR
PRKAB1 MYL2
PRKAB1 NPY
PRKAB1 PCK1
PRKAB1 PCK2
PRKAB1 PFKFB1
PRKAB1 PFKFB2
PRKAB1 PFKFB3
PRKAB1 PFKFB4
PRKAB1 PLIN1
PRKAB1 PPARGC1A
PRKAB1 RPTOR
PRKAB1 SLC2A1
PRKAB1 SLC2A4
PRKAB1 SPHK1
PRKAB1 SPHK2
PRKAB1 SREBF1
PRKAB1 TBC1D1
PRKAB2 ACACA
PRKAB2 ACACB
PRKAB2 AGRP
PRKAB2 AKT1S1
PRKAB2 CD36
PRKAB2 CFTR
PRKAB2 CRTC2
PRKAB2 CRY1
PRKAB2 CRY2
PRKAB2 EEF2K
PRKAB2 ELAVL1
PRKAB2 FOXO1
PRKAB2 FOXO3
PRKAB2 FOXO4
PRKAB2 FOXO6
PRKAB2 G6PC
PRKAB2 G6PC2
PRKAB2 G6PC3
PRKAB2 GYS1
PRKAB2 GYS2
PRKAB2 HMGCR
PRKAB2 KLF2
PRKAB2 LIPE
PRKAB2 MLYCD
PRKAB2 MTOR
PRKAB2 MYL2
PRKAB2 NPY
PRKAB2 PCK1
PRKAB2 PCK2
PRKAB2 PFKFB1
PRKAB2 PFKFB2
PRKAB2 PFKFB3
PRKAB2 PFKFB4
PRKAB2 PLIN1
PRKAB2 PPARGC1A
PRKAB2 RPTOR
PRKAB2 SLC2A1
PRKAB2 SLC2A4
PRKAB2 SPHK1
PRKAB2 SPHK2
PRKAB2 SREBF1
PRKAB2 TBC1D1
PRKACA ABCC8
PRKACA ADCY1
PRKACA ADCY2
PRKACA ADCY3
PRKACA ADCY4
PRKACA ADCY5
PRKACA ADCY6
PRKACA ADCY7
PRKACA ADCY8
PRKACA ADCY9
PRKACA AKR1C3
PRKACA AKT1S1
PRKACA AQP2
PRKACA ARAF
PRKACA ARHGDIA
PRKACA ARHGDIB
PRKACA ARHGDIG
PRKACA ATF2
PRKACA ATF4
PRKACA ATF6B
PRKACA ATG13
PRKACA ATP1A1
PRKACA ATP1A2
PRKACA ATP1A3
PRKACA ATP1A4
PRKACA ATP1B1
PRKACA ATP1B2
PRKACA ATP1B3
PRKACA ATP1B4
PRKACA ATP2B1
PRKACA ATP2B2
PRKACA ATP2B3
PRKACA ATP2B4
PRKACA BAD
PRKACA BAX
PRKACA BRAF
PRKACA CACNA1C
PRKACA CACNA1D
PRKACA CACNA1F
PRKACA CACNA1S
PRKACA CACNA2D1
PRKACA CACNA2D2
PRKACA CACNA2D3
PRKACA CACNA2D4
PRKACA CACNB1
PRKACA CACNB2
PRKACA CACNB3
PRKACA CACNB4
PRKACA CACNG1
PRKACA CACNG2
PRKACA CACNG3
PRKACA CACNG4
PRKACA CACNG5
PRKACA CACNG6
PRKACA CACNG7
PRKACA CACNG8
PRKACA CARM1
PRKACA CDC25C
PRKACA CFTR
PRKACA CREB1
PRKACA CREB3
PRKACA CREB3L1
PRKACA CREB3L2
PRKACA CREB3L3
PRKACA CREB3L4
PRKACA CREB5
PRKACA CSNK1A1
PRKACA CSNK1A1L
PRKACA CSNK1D
PRKACA CSNK1E
PRKACA CSNK1G1
PRKACA CSNK1G2
PRKACA CSNK1G3
PRKACA CTNNB1
PRKACA CYP17A1
PRKACA CYP19A1
PRKACA CYP24A1
PRKACA CYP27B1
PRKACA EHMT1
PRKACA EHMT2
PRKACA ESR1
PRKACA ESR2
PRKACA EZR
PRKACA FOS
PRKACA FOXO1
PRKACA FOXO3
PRKACA FXYD1
PRKACA FXYD2
PRKACA GABARAP
PRKACA GABARAPL1
PRKACA GABARAPL2
PRKACA GJA1
PRKACA GJD2
PRKACA GLI1
PRKACA GLI2
PRKACA GLI3
PRKACA GNAI1
PRKACA GNAI2
PRKACA GNAI3
PRKACA GNAO1
PRKACA GNB1
PRKACA GNB2
PRKACA GNB3
PRKACA GNB4
PRKACA GNB5
PRKACA GNG10
PRKACA GNG11
PRKACA GNG12
PRKACA GNG13
PRKACA GNG2
PRKACA GNG3
PRKACA GNG4
PRKACA GNG5
PRKACA GNG7
PRKACA GNG8
PRKACA GNGT1
PRKACA GNGT2
PRKACA GRIA1
PRKACA GRIA2
PRKACA GRIA3
PRKACA GRIA4
PRKACA GRIN1
PRKACA GRIN2A
PRKACA GRIN2B
PRKACA GRIN2C
PRKACA GRIN2D
PRKACA GRIN3A
PRKACA GRIN3B
PRKACA GSK3B
PRKACA GYS1
PRKACA GYS2
PRKACA HSD17B1
PRKACA HSD17B2
PRKACA HSD17B7
PRKACA HSD3B1
PRKACA HSD3B2
PRKACA ITPR1
PRKACA ITPR2
PRKACA ITPR3
PRKACA JUN
PRKACA KCNE1
PRKACA KCNJ3
PRKACA KCNJ5
PRKACA KCNJ6
PRKACA KCNJ9
PRKACA KCNK2
PRKACA KCNMA1
PRKACA KCNMB1
PRKACA KCNMB2
PRKACA KCNMB3
PRKACA KCNMB4
PRKACA KCNQ1
PRKACA KCNU1
PRKACA KDM3A
PRKACA KDM3B
PRKACA LIPE
PRKACA LOC102723532
PRKACA LOC105369274
PRKACA LOC107987545
PRKACA LOC112268384
PRKACA MAP2K1
PRKACA MAP2K2
PRKACA MAP3K5
PRKACA MAPK1
PRKACA MAPK10
PRKACA MAPK11
PRKACA MAPK12
PRKACA MAPK13
PRKACA MAPK14
PRKACA MAPK3
PRKACA MAPK8
PRKACA MAPK9
PRKACA MED1
PRKACA MEF2A
PRKACA MEF2C
PRKACA MEF2D
PRKACA MYLK
PRKACA MYLK2
PRKACA MYLK3
PRKACA MYLK4
PRKACA NACA
PRKACA NCOA3
PRKACA ND1
PRKACA ND2
PRKACA ND3
PRKACA ND4
PRKACA ND4L
PRKACA ND5
PRKACA ND6
PRKACA NDUFA1
PRKACA NDUFA10
PRKACA NDUFA11
PRKACA NDUFA12
PRKACA NDUFA13
PRKACA NDUFA2
PRKACA NDUFA3
PRKACA NDUFA4
PRKACA NDUFA4L2
PRKACA NDUFA5
PRKACA NDUFA6
PRKACA NDUFA7
PRKACA NDUFA8
PRKACA NDUFA9
PRKACA NDUFAB1
PRKACA NDUFB1
PRKACA NDUFB10
PRKACA NDUFB11
PRKACA NDUFB2
PRKACA NDUFB3
PRKACA NDUFB4
PRKACA NDUFB5
PRKACA NDUFB6
PRKACA NDUFB7
PRKACA NDUFB8
PRKACA NDUFB9
PRKACA NDUFC1
PRKACA NDUFC2
PRKACA NDUFC2-KCTD14
PRKACA NDUFS1
PRKACA NDUFS2
PRKACA NDUFS3
PRKACA NDUFS4
PRKACA NDUFS5
PRKACA NDUFS6
PRKACA NDUFS7
PRKACA NDUFS8
PRKACA NDUFV1
PRKACA NDUFV2
PRKACA NDUFV3
PRKACA NFATC1
PRKACA NFKBIA
PRKACA NR4A1
PRKACA NR4A2
PRKACA NR5A1
PRKACA OR10A2
PRKACA OR10A3
PRKACA OR10A4
PRKACA OR10A5
PRKACA OR10A6
PRKACA OR10A7
PRKACA OR10AC1
PRKACA OR10AD1
PRKACA OR10AG1
PRKACA OR10C1
PRKACA OR10D3
PRKACA OR10G2
PRKACA OR10G3
PRKACA OR10G4
PRKACA OR10G6
PRKACA OR10G7
PRKACA OR10G8
PRKACA OR10G9
PRKACA OR10H1
PRKACA OR10H2
PRKACA OR10H3
PRKACA OR10H4
PRKACA OR10H5
PRKACA OR10J1
PRKACA OR10J3
PRKACA OR10J4
PRKACA OR10J5
PRKACA OR10K1
PRKACA OR10K2
PRKACA OR10P1
PRKACA OR10Q1
PRKACA OR10R2
PRKACA OR10S1
PRKACA OR10T2
PRKACA OR10V1
PRKACA OR10W1
PRKACA OR10X1
PRKACA OR10Z1
PRKACA OR11A1
PRKACA OR11G2
PRKACA OR11H1
PRKACA OR11H12
PRKACA OR11H2
PRKACA OR11H4
PRKACA OR11H6
PRKACA OR11H7
PRKACA OR11L1
PRKACA OR12D1
PRKACA OR12D2
PRKACA OR12D3
PRKACA OR13A1
PRKACA OR13C2
PRKACA OR13C3
PRKACA OR13C4
PRKACA OR13C5
PRKACA OR13C8
PRKACA OR13C9
PRKACA OR13D1
PRKACA OR13F1
PRKACA OR13G1
PRKACA OR13H1
PRKACA OR13J1
PRKACA OR14A16
PRKACA OR14A2
PRKACA OR14C36
PRKACA OR14I1
PRKACA OR14J1
PRKACA OR14K1
PRKACA OR1A1
PRKACA OR1A2
PRKACA OR1B1
PRKACA OR1C1
PRKACA OR1D2
PRKACA OR1D4
PRKACA OR1D5
PRKACA OR1E1
PRKACA OR1E2
PRKACA OR1E3
PRKACA OR1F1
PRKACA OR1F12
PRKACA OR1G1
PRKACA OR1I1
PRKACA OR1J1
PRKACA OR1J2
PRKACA OR1J4
PRKACA OR1K1
PRKACA OR1L1
PRKACA OR1L3
PRKACA OR1L4
PRKACA OR1L6
PRKACA OR1L8
PRKACA OR1M1
PRKACA OR1N1
PRKACA OR1N2
PRKACA OR1Q1
PRKACA OR1S1
PRKACA OR1S2
PRKACA OR2A1
PRKACA OR2A12
PRKACA OR2A14
PRKACA OR2A2
PRKACA OR2A25
PRKACA OR2A4
PRKACA OR2A42
PRKACA OR2A5
PRKACA OR2A7
PRKACA OR2AE1
PRKACA OR2AG1
PRKACA OR2AG2
PRKACA OR2AJ1
PRKACA OR2AK2
PRKACA OR2AP1
PRKACA OR2AT4
PRKACA OR2B11
PRKACA OR2B2
PRKACA OR2B3
PRKACA OR2B6
PRKACA OR2C1
PRKACA OR2C3
PRKACA OR2D2
PRKACA OR2D3
PRKACA OR2F1
PRKACA OR2F2
PRKACA OR2G2
PRKACA OR2G3
PRKACA OR2G6
PRKACA OR2H1
PRKACA OR2H2
PRKACA OR2J1
PRKACA OR2J2
PRKACA OR2J3
PRKACA OR2K2
PRKACA OR2L13
PRKACA OR2L2
PRKACA OR2L3
PRKACA OR2L5
PRKACA OR2L8
PRKACA OR2M2
PRKACA OR2M3
PRKACA OR2M4
PRKACA OR2M5
PRKACA OR2M7
PRKACA OR2S2
PRKACA OR2T1
PRKACA OR2T10
PRKACA OR2T11
PRKACA OR2T12
PRKACA OR2T2
PRKACA OR2T27
PRKACA OR2T29
PRKACA OR2T3
PRKACA OR2T33
PRKACA OR2T34
PRKACA OR2T35
PRKACA OR2T4
PRKACA OR2T5
PRKACA OR2T6
PRKACA OR2T7
PRKACA OR2T8
PRKACA OR2V1
PRKACA OR2V2
PRKACA OR2W1
PRKACA OR2W3
PRKACA OR2W5
PRKACA OR2Y1
PRKACA OR2Z1
PRKACA OR3A1
PRKACA OR3A2
PRKACA OR3A3
PRKACA OR4A15
PRKACA OR4A16
PRKACA OR4A47
PRKACA OR4A5
PRKACA OR4B1
PRKACA OR4C11
PRKACA OR4C12
PRKACA OR4C13
PRKACA OR4C15
PRKACA OR4C16
PRKACA OR4C3
PRKACA OR4C45
PRKACA OR4C46
PRKACA OR4C5
PRKACA OR4C6
PRKACA OR4D1
PRKACA OR4D10
PRKACA OR4D11
PRKACA OR4D2
PRKACA OR4D5
PRKACA OR4D6
PRKACA OR4D9
PRKACA OR4E1
PRKACA OR4E2
PRKACA OR4F15
PRKACA OR4F16
PRKACA OR4F17
PRKACA OR4F21
PRKACA OR4F29
PRKACA OR4F3
PRKACA OR4F4
PRKACA OR4F5
PRKACA OR4F6
PRKACA OR4K1
PRKACA OR4K13
PRKACA OR4K14
PRKACA OR4K15
PRKACA OR4K17
PRKACA OR4K2
PRKACA OR4K3
PRKACA OR4K5
PRKACA OR4L1
PRKACA OR4M1
PRKACA OR4M2
PRKACA OR4N2
PRKACA OR4N4
PRKACA OR4N5
PRKACA OR4P4
PRKACA OR4Q2
PRKACA OR4Q3
PRKACA OR4S1
PRKACA OR4S2
PRKACA OR4X1
PRKACA OR4X2
PRKACA OR51A2
PRKACA OR51A4
PRKACA OR51A7
PRKACA OR51B2
PRKACA OR51B4
PRKACA OR51B5
PRKACA OR51B6
PRKACA OR51D1
PRKACA OR51E1
PRKACA OR51E2
PRKACA OR51F1
PRKACA OR51F2
PRKACA OR51G1
PRKACA OR51G2
PRKACA OR51H1
PRKACA OR51I1
PRKACA OR51I2
PRKACA OR51J1
PRKACA OR51L1
PRKACA OR51M1
PRKACA OR51Q1
PRKACA OR51S1
PRKACA OR51T1
PRKACA OR51V1
PRKACA OR52A1
PRKACA OR52A5
PRKACA OR52B2
PRKACA OR52B4
PRKACA OR52B6
PRKACA OR52D1
PRKACA OR52E1
PRKACA OR52E2
PRKACA OR52E4
PRKACA OR52E5
PRKACA OR52E6
PRKACA OR52E8
PRKACA OR52H1
PRKACA OR52I1
PRKACA OR52I2
PRKACA OR52J3
PRKACA OR52K1
PRKACA OR52K2
PRKACA OR52L1
PRKACA OR52M1
PRKACA OR52N1
PRKACA OR52N2
PRKACA OR52N4
PRKACA OR52N5
PRKACA OR52R1
PRKACA OR52W1
PRKACA OR52Z1
PRKACA OR56A1
PRKACA OR56A3
PRKACA OR56A4
PRKACA OR56A5
PRKACA OR56B1
PRKACA OR56B4
PRKACA OR5A1
PRKACA OR5A2
PRKACA OR5AC2
PRKACA OR5AK2
PRKACA OR5AL1
PRKACA OR5AN1
PRKACA OR5AP2
PRKACA OR5AR1
PRKACA OR5AS1
PRKACA OR5AU1
PRKACA OR5B12
PRKACA OR5B17
PRKACA OR5B2
PRKACA OR5B21
PRKACA OR5B3
PRKACA OR5C1
PRKACA OR5D13
PRKACA OR5D14
PRKACA OR5D16
PRKACA OR5D18
PRKACA OR5F1
PRKACA OR5H1
PRKACA OR5H14
PRKACA OR5H15
PRKACA OR5H2
PRKACA OR5H6
PRKACA OR5I1
PRKACA OR5J2
PRKACA OR5K1
PRKACA OR5K2
PRKACA OR5K3
PRKACA OR5K4
PRKACA OR5L1
PRKACA OR5L2
PRKACA OR5M1
PRKACA OR5M10
PRKACA OR5M11
PRKACA OR5M3
PRKACA OR5M8
PRKACA OR5M9
PRKACA OR5P2
PRKACA OR5P3
PRKACA OR5R1
PRKACA OR5T1
PRKACA OR5T2
PRKACA OR5T3
PRKACA OR5V1
PRKACA OR5W2
PRKACA OR6A2
PRKACA OR6B1
PRKACA OR6B2
PRKACA OR6B3
PRKACA OR6C1
PRKACA OR6C2
PRKACA OR6C3
PRKACA OR6C4
PRKACA OR6C6
PRKACA OR6C65
PRKACA OR6C68
PRKACA OR6C70
PRKACA OR6C74
PRKACA OR6C75
PRKACA OR6C76
PRKACA OR6F1
PRKACA OR6J1
PRKACA OR6K2
PRKACA OR6K3
PRKACA OR6K6
PRKACA OR6M1
PRKACA OR6N1
PRKACA OR6N2
PRKACA OR6P1
PRKACA OR6Q1
PRKACA OR6S1
PRKACA OR6T1
PRKACA OR6V1
PRKACA OR6X1
PRKACA OR6Y1
PRKACA OR7A10
PRKACA OR7A17
PRKACA OR7A5
PRKACA OR7C1
PRKACA OR7C2
PRKACA OR7D2
PRKACA OR7D4
PRKACA OR7E24
PRKACA OR7G1
PRKACA OR7G2
PRKACA OR7G3
PRKACA OR8A1
PRKACA OR8B12
PRKACA OR8B2
PRKACA OR8B3
PRKACA OR8B4
PRKACA OR8B8
PRKACA OR8D1
PRKACA OR8D2
PRKACA OR8D4
PRKACA OR8G1
PRKACA OR8G2P
PRKACA OR8G5
PRKACA OR8H1
PRKACA OR8H2
PRKACA OR8H3
PRKACA OR8I2
PRKACA OR8J1
PRKACA OR8J3
PRKACA OR8K1
PRKACA OR8K3
PRKACA OR8K5
PRKACA OR8S1
PRKACA OR8U1
PRKACA OR8U8
PRKACA OR8U9
PRKACA OR9A2
PRKACA OR9A4
PRKACA OR9G1
PRKACA OR9G4
PRKACA OR9G9
PRKACA OR9I1
PRKACA OR9K2
PRKACA OR9Q1
PRKACA OR9Q2
PRKACA ORAI1
PRKACA PAX8
PRKACA PBX1
PRKACA PDE10A
PRKACA PDE3A
PRKACA PDE3B
PRKACA PDE4A
PRKACA PDE4B
PRKACA PDE4C
PRKACA PDE4D
PRKACA PDX1
PRKACA PFKFB1
PRKACA PKM
PRKACA PLIN1
PRKACA PLN
PRKACA PPARA
PRKACA PPP1R1A
PRKACA PPP1R1B
PRKACA PPP4C
PRKACA PPP4R3A
PRKACA PPP4R3B
PRKACA PRKAA1
PRKACA PRKAA2
PRKACA PRKAB1
PRKACA PRKAB2
PRKACA PRKAG1
PRKACA PRKAG2
PRKACA PRKAG3
PRKACA PSEN1
PRKACA PTK2
PRKACA RAF1
PRKACA RAP1A
PRKACA RAP1B
PRKACA RASGRF1
PRKACA RASGRF2
PRKACA RHOA
PRKACA RPS6KA5
PRKACA RPS6KB1
PRKACA RPS6KB2
PRKACA RUNX2
PRKACA RYR2
PRKACA SCN1A
PRKACA SCN1B
PRKACA SCN4B
PRKACA SCN5A
PRKACA SCN7A
PRKACA SIK2
PRKACA SLC8A1
PRKACA SLC8A2
PRKACA SLC8A3
PRKACA SLC9A1
PRKACA SLC9A3R1
PRKACA SOX9
PRKACA SP1
PRKACA STAR
PRKACA TNNI3
PRKACA TPTEP2-CSNK1E
PRKACA TRPM8
PRKACA TRPV1
PRKACA TRPV4
PRKACA TRPV5
PRKACA TTF1
PRKACA TTF2
PRKACA ULK1
PRKACA ULK2
PRKACA VAMP2
PRKACA VASP
PRKACB ABCC8
PRKACB ADCY1
PRKACB ADCY2
PRKACB ADCY3
PRKACB ADCY4
PRKACB ADCY5
PRKACB ADCY6
PRKACB ADCY7
PRKACB ADCY8
PRKACB ADCY9
PRKACB AKR1C3
PRKACB AKT1S1
PRKACB AQP2
PRKACB ARAF
PRKACB ARHGDIA
PRKACB ARHGDIB
PRKACB ARHGDIG
PRKACB ATF2
PRKACB ATF4
PRKACB ATF6B
PRKACB ATG13
PRKACB ATP1A1
PRKACB ATP1A2
PRKACB ATP1A3
PRKACB ATP1A4
PRKACB ATP1B1
PRKACB ATP1B2
PRKACB ATP1B3
PRKACB ATP1B4
PRKACB ATP2B1
PRKACB ATP2B2
PRKACB ATP2B3
PRKACB ATP2B4
PRKACB BAD
PRKACB BAX
PRKACB BRAF
PRKACB CACNA1C
PRKACB CACNA1D
PRKACB CACNA1F
PRKACB CACNA1S
PRKACB CACNA2D1
PRKACB CACNA2D2
PRKACB CACNA2D3
PRKACB CACNA2D4
PRKACB CACNB1
PRKACB CACNB2
PRKACB CACNB3
PRKACB CACNB4
PRKACB CACNG1
PRKACB CACNG2
PRKACB CACNG3
PRKACB CACNG4
PRKACB CACNG5
PRKACB CACNG6
PRKACB CACNG7
PRKACB CACNG8
PRKACB CARM1
PRKACB CDC25C
PRKACB CFTR
PRKACB CREB1
PRKACB CREB3
PRKACB CREB3L1
PRKACB CREB3L2
PRKACB CREB3L3
PRKACB CREB3L4
PRKACB CREB5
PRKACB CSNK1A1
PRKACB CSNK1A1L
PRKACB CSNK1D
PRKACB CSNK1E
PRKACB CSNK1G1
PRKACB CSNK1G2
PRKACB CSNK1G3
PRKACB CTNNB1
PRKACB CYP17A1
