Ywhab	Hsp90b1
Ywhab	Eps15l1
Ywhab	Epn2
Ywhab	Etfdh
Ywhab	Exoc2
Ywhab	Exoc3
Ywhab	Exoc4
Ywhab	Exoc5
Ywhab	Exoc7
Ywhab	Exoc8
Ywhab	Fasn
Ywhab	Fes
Ywhab	Fibp
Ywhab	Flot1
Ywhab	Flot2
Ywhab	Fmnl1
Ywhab	Fmnl3
Ywhab	Fyn
Ywhab	Gapdh
Ywhab	Gabbr1
Ywhab	Gabbr2
Ywhab	Gnb2
Ywhab	Gabra1
Ywhab	Gdap1l1
Ywhab	Gdap1
Ywhab	Gsn
Ywhab	Gphn
Ywhab	Slc25a22
Ywhab	Git1
Ywhab	Glul
Ywhab	Gls2
Ywhab	Gnai2
Ywhab	Gnao1
Ywhab	Gnaq
Ywhab	Gnas
Ywhab	Gnaz
Ywhab	Gnb5
Ywhab	Gosr1
Ywhab	Gpr158
Ywhab	Gpd2
Ywhab	Pigk
Ywhab	Gpm6a
Ywhab	Gria1
Ywhab	Gria2
Ywhab	Gria3
Ywhab	Gprin1
Ywhab	Grm1
Ywhab	Grm3
Ywhab	Grm7
Ywhab	Hspa9
Ywhab	Hcn2
Ywhab	Hip1r
Ywhab	Hnrnpm
Ywhab	Homer1
Ywhab	Hapln1
Ywhab	Hsph1
Ywhab	Hspa12a
Ywhab	Hspa1b
Ywhab	Hsp90ab1
Ywhab	Hspa8
Ywhab	Hk1
Ywhab	Cast
Ywhab	Idh3a
Ywhab	Idh3g
Ywhab	Idh2
Ywhab	Igsf21
Ywhab	Inpp4a
Ywhab	Iqsec1
Ywhab	Iqsec2
Ywhab	Itpr1
Ywhab	Itsn1
Ywhab	Kiaa1549
Ywhab	Krt5
Ywhab	Krt6a
Ywhab	Kalrn
Ywhab	Prkar2b
Ywhab	Prkacb
Ywhab	Csnk1a1
Ywhab	Csnk1e
Ywhab	Kcnab2
Ywhab	Camk2a
Ywhab	Camk2b
Ywhab	Camk2g
Ywhab	Kcna2
Ywhab	Kcnq2
Ywhab	Ckmt1
Ywhab	Kel
Ywhab	Prkg2
Ywhab	Kif2a
Ywhab	Kif5b
Ywhab	Klc2
Ywhab	Prkcb
Ywhab	Prkce
Ywhab	Prkcg
Ywhab	Ktn1
Ywhab	L1cam
Ywhab	Lancl2
Ywhab	Lasp1
Ywhab	Letm1
Ywhab	Lgi1
Ywhab	Lime1
Ywhab	Lin7a
Ywhab	Lin7b
Ywhab	Ppfia3
Ywhab	Lrpprc
Ywhab	Lrrc59
Ywhab	Lrp1
Ywhab	Lrrc7
Ywhab	Lsamp
Ywhab	Mtdh
Ywhab	Slc25a11
Ywhab	Macf1
Ywhab	Mag
Ywhab	Map1a
Ywhab	Map1b
Ywhab	Map6
Ywhab	Mtarc2
Ywhab	Mapre2
Ywhab	Mark2
Ywhab	Atf7ip
Ywhab	Mccc1
Ywhab	Mcu
Ywhab	Mdh2
Ywhab	Mecr
Ywhab	Chchd3
Ywhab	Chchd6
Ywhab	Immt
Ywhab	Mink1
Ywhab	Rhot1
Ywhab	Abcb8
Ywhab	Mog
Ywhab	Mogs
Ywhab	Slc25a3
Ywhab	Mpp2
Ywhab	Mpp3
Ywhab	Mpp6
Ywhab	Cdc42bpb
Ywhab	Map2
Ywhab	Mtch1
Ywhab	Mtch2
Ywhab	Sbf1
Ywhab	Mtmr14
Ywhab	Mtx1
Ywhab	Mtx2
Ywhab	Myo18a
Ywhab	Myh10
Ywhab	Myh11
Ywhab	Myh14
Ywhab	Myh9
Ywhab	Myo1b
Ywhab	Myo1d
Ywhab	Myo5a
Ywhab	Myo6
Ywhab	Slc8a2
Ywhab	Naca
Ywhab	Nbea
Ywhab	Ncam1
Ywhab	Ncam2
Ywhab	Ncan
Ywhab	Ncdn
Ywhab	Nckap1
Ywhab	Ndufa9
Ywhab	Ndufa10
Ywhab	Ndufs1
Ywhab	Ndufs2
Ywhab	Ndufs3
Ywhab	Ndufv2
Ywhab	Ppp1r9b
Ywhab	Nedd4
Ywhab	Negr1
Ywhab	Neo1
Ywhab	Nrgn
Ywhab	Gap43
Ywhab	Nf1
Ywhab	Nfasc
Ywhab	Nefl
Ywhab	Nefm
Ywhab	Nipsnap1
Ywhab	Nipsnap2
Ywhab	Nlgn1
Ywhab	Nlgn2
Ywhab	Nlgn3
Ywhab	Grin2a
Ywhab	Grin2b
Ywhab	Grin1
Ywhab	Olfm1
Ywhab	Nptn
Ywhab	Nsf
Ywhab	Ntm
Ywhab	Endog
Ywhab	Numbl
Ywhab	Nrxn3
Ywhab	Dbt
