gene1	gene2	pathwayID	type
GUSB	UGT2A3	hsa00040	70
KL	UGT2B11	hsa00040	70
KL	UGT2A1	hsa00040	70
KL	UGT2B28	hsa00040	70
KL	UGT1A10	hsa00040	70
KL	UGT1A8	hsa00040	70
KL	UGT1A7	hsa00040	70
KL	UGT1A6	hsa00040	70
KL	UGT1A5	hsa00040	70
KL	UGT1A9	hsa00040	70
KL	UGT1A4	hsa00040	70
KL	UGT1A1	hsa00040	70
KL	UGT1A3	hsa00040	70
KL	UGT2A2	hsa00040	70
KL	UGT2B4	hsa00040	70
KL	UGT2B7	hsa00040	70
KL	UGT2B10	hsa00040	70
KL	UGT2B15	hsa00040	70
KL	UGT2B17	hsa00040	70
KL	UGT2A3	hsa00040	70
UGT2B11	UGDH	hsa00040	140
UGT2A1	UGDH	hsa00040	140
UGT2B28	UGDH	hsa00040	140
UGT1A10	UGDH	hsa00040	140
UGT1A8	UGDH	hsa00040	140
UGT1A7	UGDH	hsa00040	140
UGT1A6	UGDH	hsa00040	140
UGT1A5	UGDH	hsa00040	140
UGT1A9	UGDH	hsa00040	140
UGT1A4	UGDH	hsa00040	140
UGT1A1	UGDH	hsa00040	140
UGT1A3	UGDH	hsa00040	140
UGT2A2	UGDH	hsa00040	140
UGT2B4	UGDH	hsa00040	140
UGT2B7	UGDH	hsa00040	140
UGT2B10	UGDH	hsa00040	140
UGT2B15	UGDH	hsa00040	140
UGT2B17	UGDH	hsa00040	140
UGT2A3	UGDH	hsa00040	140
UGP2	UGDH	hsa00040	141
RPE	XYLB	hsa00040	153
RPEL1	XYLB	hsa00040	153
DCXR	AKR1B1	hsa00040	144
DCXR	AKR1B10	hsa00040	144
DHDH	AKR1B1	hsa00040	145
DHDH	AKR1B10	hsa00040	145
GUSB	AKR1A1	hsa00040	217
KL	AKR1A1	hsa00040	217
AKR1B1	SORD	hsa00040	144
AKR1B10	SORD	hsa00040	144
SORD	DCXR	hsa00040	144
AKR1A1	CRYL1	hsa00040	138
AKR1B1	SORD	hsa00051	162
AKR1B10	SORD	hsa00051	162
SORD	KHK	hsa00051	161
SORD	HK1	hsa00051	161
SORD	HK2	hsa00051	161
SORD	HK3	hsa00051	161
SORD	HKDC1	hsa00051	161
KHK	HK1	hsa00051	161
KHK	HK2	hsa00051	161
KHK	HK3	hsa00051	161
KHK	HKDC1	hsa00051	161
PFKFB1	PFKL	hsa00051	149
PFKFB1	PFKM	hsa00051	149
PFKFB1	PFKP	hsa00051	149
PFKFB2	PFKL	hsa00051	149
PFKFB2	PFKM	hsa00051	149
PFKFB2	PFKP	hsa00051	149
PFKFB3	PFKL	hsa00051	149
PFKFB3	PFKM	hsa00051	149
PFKFB3	PFKP	hsa00051	149
PFKFB4	PFKL	hsa00051	149
PFKFB4	PFKM	hsa00051	149
PFKFB4	PFKP	hsa00051	149
TIGAR	PFKL	hsa00051	149
TIGAR	PFKM	hsa00051	149
TIGAR	PFKP	hsa00051	149
PFKFB1	FBP1	hsa00051	149
PFKFB1	FBP2	hsa00051	149
PFKFB2	FBP1	hsa00051	149
PFKFB2	FBP2	hsa00051	149
PFKFB3	FBP1	hsa00051	149
PFKFB3	FBP2	hsa00051	149
PFKFB4	FBP1	hsa00051	149
PFKFB4	FBP2	hsa00051	149
TIGAR	FBP1	hsa00051	149
TIGAR	FBP2	hsa00051	149
PFKFB1	MPI	hsa00051	149
PFKFB2	MPI	hsa00051	149
